번호,시간,회사명,종목코드,공시제목,제출인,접수일자
191,13:54,한국제지,002300,대표이사(대표집행임원) 변경(안내공시),한국제지,2020-03-27
190,13:53,KC그린홀딩스,009440,주식등의대량보유상황보고서(일반),이태영,2020-03-27
189,13:52,한국자산신탁,123890,임원ㆍ주요주주특정증권등소유상황보고서,백진혁,2020-03-27
188,13:50,대현,016090,사외이사의선임ㆍ해임또는중도퇴임에관한신고,대현,2020-03-27
187,13:49,삼성공조,006660,정기주주총회결과,삼성공조,2020-03-27
186,13:49,한국제지,002300,정기주주총회결과,한국제지,2020-03-27
185,13:49,한국자산신탁,123890,임원ㆍ주요주주특정증권등소유상황보고서,신찬혁,2020-03-27
184,13:49,포스코,005490,정기주주총회결과,포스코,2020-03-27
183,13:48,제일연마,001560,정기주주총회결과,제일연마공업,2020-03-27
182,13:48,대현,016090,사외이사의선임ㆍ해임또는중도퇴임에관한신고,대현,2020-03-27
181,13:47,한국자산신탁,123890,임원ㆍ주요주주특정증권등소유상황보고서,신상갑,2020-03-27
180,13:46,KC그린홀딩스,009440,임원ㆍ주요주주특정증권등소유상황보고서,김종열,2020-03-27
179,13:46,한국제지,002300,사외이사의선임ㆍ해임또는중도퇴임에관한신고,한국제지,2020-03-27
178,13:45,포스코,005490,사외이사의선임ㆍ해임또는중도퇴임에관한신고,포스코,2020-03-27
177,13:45,대현,016090,정기주주총회결과,대현,2020-03-27
176,13:45,롯데쇼핑,023530,임원ㆍ주요주주특정증권등소유상황보고서,김정현,2020-03-27
175,13:44,삼성출판사,068290,사외이사의선임ㆍ해임또는중도퇴임에관한신고,삼성출판사,2020-03-27
174,13:43,이아이디,093230,정기주주총회결과,이아이디,2020-03-27
173,13:43,한국자산신탁,123890,임원ㆍ주요주주특정증권등소유상황보고서,김규철,2020-03-27
172,13:41,한국자산신탁,123890,임원ㆍ주요주주특정증권등소유상황보고서,문주현,2020-03-27
171,13:41,현대차증권,001500,투자설명서[일괄신고-사채],현대차증권,2020-03-27
170,13:41,유니퀘스트,077500,자기주식취득 신탁계약 해지 결정,유니퀘스트,2020-03-27
169,13:40,인스코비,006490,대표이사(대표집행임원) 변경(안내공시),인스코비,2020-03-27
168,13:40,이아이디,093230,대표이사(대표집행임원) 변경(안내공시),이아이디,2020-03-27
167,13:40,삼성출판사,068290,정기주주총회결과,삼성출판사,2020-03-27
166,13:39,KC그린홀딩스,009440,최대주주등소유주식변동신고서,케이씨그린홀딩스,2020-03-27
165,13:39,인스코비,006490,정기주주총회결과,인스코비,2020-03-27
164,13:38,롯데쇼핑,023530,임원ㆍ주요주주특정증권등소유상황보고서,나연,2020-03-27
163,13:38,한전기술,052690,정기주주총회결과,한국전력기술,2020-03-27
162,13:38,삼성증권,016360,[연결포함]일괄신고추가서류(파생결합증권-주가연계증권),삼성증권,2020-03-27
161,13:38,KC그린홀딩스,009440,사외이사의선임ㆍ해임또는중도퇴임에관한신고,케이씨그린홀딩스,2020-03-27
160,13:37,KC그린홀딩스,009440,정기주주총회결과,케이씨그린홀딩스,2020-03-27
159,13:35,엔에스쇼핑,138250,사외이사의선임ㆍ해임또는중도퇴임에관한신고,엔에스쇼핑,2020-03-27
158,13:34,부산산업,011390,[연결포함]사업보고서(일반법인),부산산업,2020-03-27
157,13:33,GS,078930,주식등의대량보유상황보고서(일반),허창수,2020-03-27
156,13:32,엔에스쇼핑,138250,정기주주총회결과,엔에스쇼핑,2020-03-27
155,13:32,현대차증권,001500,[연결포함]일괄신고추가서류(파생결합사채-주가연계파생결합사채),현대차증권,2020-03-27
154,13:30,롯데쇼핑,023530,임원ㆍ주요주주특정증권등소유상황보고서,박주혁,2020-03-27
153,13:26,고려개발,004200,사업보고서(일반법인),고려개발,2020-03-27
